course,run,id,author_id,parent_id,step,week_number,step_number,text,timestamp,likes,first_reported_at,first_reported_reason,moderation_state,moderated
introduction-to-web-development,1,36113630,b993caa9-a976-4cac-bcce-273a08ea0731,,1.2,1,2,"I run a programming school for children in Matsumoto, Japan. Until now we have focused on block programming and transitioning to Python3 after.
I am curious about using Glitch as a learning environment and want to see how compatible the contents of this course are with Glitch.",2020-01-06 00:32:52 UTC,1,,,,
introduction-to-web-development,1,36113778,66b88ec7-239d-4f11-b821-8b29472c2b37,,1.1,1,1,I'm interested in java and CSS,2020-01-06 00:54:07 UTC,2,,,,
introduction-to-web-development,1,36113785,66b88ec7-239d-4f11-b821-8b29472c2b37,,1.2,1,2,"I'm going to study computer science in university 
So that's why I joined in this course",2020-01-06 00:55:10 UTC,0,,,,
introduction-to-web-development,1,36113800,66b88ec7-239d-4f11-b821-8b29472c2b37,,1.3,1,3,"No
Yes",2020-01-06 00:56:32 UTC,0,,,,
introduction-to-web-development,1,36113855,66b88ec7-239d-4f11-b821-8b29472c2b37,,1.8,1,8,For quick access ,2020-01-06 01:03:48 UTC,2,,,,
introduction-to-web-development,1,36113869,66b88ec7-239d-4f11-b821-8b29472c2b37,,1.11,1,11,"Not much
It's good
I'm interested in this course",2020-01-06 01:04:59 UTC,1,,,,
introduction-to-web-development,1,36113884,66b88ec7-239d-4f11-b821-8b29472c2b37,,2.3,2,3,I haven't any ideas about that ,2020-01-06 01:06:35 UTC,0,,,,
introduction-to-web-development,1,36113914,66b88ec7-239d-4f11-b821-8b29472c2b37,,2.12,2,12,I like introduction of CSS ,2020-01-06 01:09:58 UTC,3,,,,
introduction-to-web-development,1,36113966,cab251f3-6205-4e97-b60b-8c6c418332e5,,1.2,1,2,"I enjoying learning about computers.
I would like to learn phython3 and web design in the future.
Everyone has to start somewhere! SO I will try to find time every week to work on this course.",2020-01-06 01:16:40 UTC,2,,,,
introduction-to-web-development,1,36114640,f6a1ca08-b15a-4d34-9f84-f0f2cdb38943,,1.1,1,1,"Hi 
I am zameer and i am interested in web development",2020-01-06 03:06:19 UTC,0,,,,
introduction-to-web-development,1,36114642,69cca3c7-6765-4518-8a56-8c3c4770e382,,1.2,1,2,I have an idea for a new type of social media platform focused on mental health and hope this course can assist me in building a site that will make my idea come to life. I have no background on how to build websites which is quite scary - never took IT in school or university but fully believe that the internet is the way to go. I’ll give this course my best! ,2020-01-06 03:06:54 UTC,1,,,,
introduction-to-web-development,1,36114656,f6a1ca08-b15a-4d34-9f84-f0f2cdb38943,,1.2,1,2,I learn the web development for self earning on freelance marketplace ,2020-01-06 03:08:14 UTC,2,,,,
introduction-to-web-development,1,36114949,1a804f36-4891-44cd-85c5-e9482c00ad21,,1.5,1,5,https://trinket.io/html/de687799cd,2020-01-06 03:51:43 UTC,2,,,,
introduction-to-web-development,1,36115045,9011483f-fb4e-4d2a-95dd-afdac68806dc,,1.2,1,2,I am much more interested in web development and for my project related to a user interactive website application. That's why I am here. I hope that this will be fun and I will get to know more about web development. And Nice to meet you guys.,2020-01-06 04:09:52 UTC,3,,,,
introduction-to-web-development,1,36115410,7ef24873-c5c1-40e1-8d54-7249820f052d,,1.2,1,2,thanks for providing such opportunity.. i hope that we'll get much understanding and knowledge about this course. ,2020-01-06 05:09:52 UTC,3,,,,
introduction-to-web-development,1,36115456,439e0689-5c27-47dd-a019-0722ee961062,,1.1,1,1,"Every business needs a website that can make them interact with their clients, both young and old.",2020-01-06 05:16:43 UTC,0,,,,
introduction-to-web-development,1,36115465,439e0689-5c27-47dd-a019-0722ee961062,,1.1,1,1,I'm interested in this course for the business that I'm investing in .,2020-01-06 05:17:37 UTC,0,,,,
introduction-to-web-development,1,36115496,439e0689-5c27-47dd-a019-0722ee961062,,1.2,1,2,This is a great opportunity and it shows that learning only has a beginning but not an end.,2020-01-06 05:23:12 UTC,3,,,,
introduction-to-web-development,1,36115909,02869170-f3a3-4dca-8538-21f752fec51c,,1.1,1,1,Yeah! Its started ,2020-01-06 06:17:19 UTC,0,,,,
introduction-to-web-development,1,36115953,02869170-f3a3-4dca-8538-21f752fec51c,,1.2,1,2,I am from Pakistan and i am happy that i join this course ,2020-01-06 06:21:31 UTC,2,,,,
introduction-to-web-development,1,36116034,97b157a7-2f97-46bc-a7f1-c8941058c1a4,,1.1,1,1,I am looking forward to imparting this knowledge once I complete the course for my new business ,2020-01-06 06:30:41 UTC,0,,,,
introduction-to-web-development,1,36116053,97b157a7-2f97-46bc-a7f1-c8941058c1a4,,1.2,1,2,"Hi All, I'm excited to learn from this course and be part of this learning group",2020-01-06 06:32:58 UTC,2,,,,
introduction-to-web-development,1,36116212,97b157a7-2f97-46bc-a7f1-c8941058c1a4,,1.3,1,3,"I think the dark web exists, I may not know it I know that people have illegal doings on the web, some results are revealed in the news. With big companies, I think they dominate by ensuring that we you search for products and services, they appear first. ",2020-01-06 06:50:03 UTC,1,,,,
introduction-to-web-development,1,36116344,1a804f36-4891-44cd-85c5-e9482c00ad21,,1.5,1,5,https://trinket.io/html/969d554d08,2020-01-06 07:03:40 UTC,2,,,,
introduction-to-web-development,1,36116591,c1512054-fd09-43a7-92b0-b86e490f66aa,,1.1,1,1,Let's start.,2020-01-06 07:32:21 UTC,0,,,,
introduction-to-web-development,1,36116607,c1512054-fd09-43a7-92b0-b86e490f66aa,,1.2,1,2,This is an opportunity to learn web development. thanks.,2020-01-06 07:34:04 UTC,2,,,,
introduction-to-web-development,1,36117231,1a804f36-4891-44cd-85c5-e9482c00ad21,,1.7,1,7,https://trinket.io/html/6c4bb08fc6,2020-01-06 08:33:10 UTC,2,,,,
introduction-to-web-development,1,36117393,f8da68fc-4fff-4de8-a0ed-276f8802739b,,1.1,1,1,I am interested in the basics of websites.,2020-01-06 08:46:23 UTC,0,,,,
introduction-to-web-development,1,36117462,97b157a7-2f97-46bc-a7f1-c8941058c1a4,,1.4,1,4,"The word page is not spelt correctly, even if I try to edit and correct it, it doesn't correct",2020-01-06 08:50:24 UTC,0,,,,
introduction-to-web-development,1,36117958,1a804f36-4891-44cd-85c5-e9482c00ad21,,2.3,2,3,https://trinket.io/html/2ca7ab616b,2020-01-06 09:27:59 UTC,1,,,,
