course,run,learner_id,step,week_number,step_number,first_visited_at,last_completed_at
introduction-to-web-development,1,99f0e23b-dcc6-4911-9fac-7ba5bde3a7cd,1.1,1,1,2019-12-19 08:47:43 UTC,
introduction-to-web-development,1,16fcb584-0dbf-49fa-98e4-1e611f8beebd,1.1,1,1,2019-12-20 09:29:20 UTC,
introduction-to-web-development,1,3784efde-e477-4877-bbff-e20c4cdbefae,1.1,1,1,2019-12-20 10:56:18 UTC,
introduction-to-web-development,1,20e6ec35-0f50-4819-9c2e-d1851fd54638,1.1,1,1,2019-12-30 13:22:04 UTC,
introduction-to-web-development,1,b4c33492-b103-41cf-8746-630ef05ce867,1.1,1,1,2020-01-06 00:02:08 UTC,
introduction-to-web-development,1,e9acca70-cff4-406a-842a-3ecb71df9085,1.1,1,1,2020-01-06 00:02:14 UTC,2020-01-06 00:03:03 UTC
introduction-to-web-development,1,c4b5dde3-a6e2-462f-b8c8-f0daece54a66,1.1,1,1,2020-01-06 00:08:48 UTC,2020-01-06 00:11:47 UTC
introduction-to-web-development,1,bfc069d2-e680-497d-a18d-c8c75c3a265d,1.1,1,1,2020-01-06 00:09:07 UTC,2020-01-06 00:11:56 UTC
introduction-to-web-development,1,d28489e4-8b03-4fed-ab3d-4ded799f6e31,1.1,1,1,2020-01-06 00:16:16 UTC,2020-01-06 00:24:07 UTC
introduction-to-web-development,1,9d5aad70-30b0-4639-8822-ad93753cb317,1.1,1,1,2020-01-06 00:19:16 UTC,
introduction-to-web-development,1,8a09ff40-84a4-4697-8c08-a278036bd3e1,1.1,1,1,2020-01-06 00:21:36 UTC,
introduction-to-web-development,1,2a42f3cc-099c-4159-8781-9e76c3b1c5e0,1.1,1,1,2020-01-06 00:23:11 UTC,2020-01-06 00:25:28 UTC
introduction-to-web-development,1,b993caa9-a976-4cac-bcce-273a08ea0731,1.1,1,1,2020-01-06 00:24:34 UTC,2020-01-06 00:27:28 UTC
introduction-to-web-development,1,a4708d9e-f90e-494b-883c-5b2a44556f09,1.1,1,1,2020-01-06 00:42:31 UTC,
introduction-to-web-development,1,66b88ec7-239d-4f11-b821-8b29472c2b37,1.1,1,1,2020-01-06 00:49:38 UTC,2020-01-06 00:54:10 UTC
introduction-to-web-development,1,82e5094b-71ae-485d-91ab-224acbe5e7cd,1.1,1,1,2020-01-06 00:59:46 UTC,
introduction-to-web-development,1,cab251f3-6205-4e97-b60b-8c6c418332e5,1.1,1,1,2020-01-06 01:04:54 UTC,2020-01-06 01:07:41 UTC
introduction-to-web-development,1,ed066f35-1271-40e6-ae80-b11c2b373812,1.1,1,1,2020-01-06 01:15:49 UTC,2020-01-06 01:20:02 UTC
introduction-to-web-development,1,a4ecab16-bf24-489d-b4d7-601bf53b11b2,1.1,1,1,2020-01-06 01:45:09 UTC,2020-01-06 01:46:02 UTC
introduction-to-web-development,1,d1db71df-6024-4b26-84ea-a73f905ff8cf,1.1,1,1,2020-01-06 01:48:15 UTC,
introduction-to-web-development,1,321172e3-3973-47c3-a5a2-77bedd4221c8,1.1,1,1,2020-01-06 02:10:14 UTC,
introduction-to-web-development,1,3c3f0eb4-5be5-431d-9551-8982e89749ad,1.1,1,1,2020-01-06 02:27:49 UTC,2020-01-07 11:14:10 UTC
introduction-to-web-development,1,362a2f71-e663-4222-9218-a62a5f8af354,1.1,1,1,2020-01-06 02:34:23 UTC,
introduction-to-web-development,1,abb3eeb3-3781-4206-a9ac-79a4e7e55412,1.1,1,1,2020-01-06 02:39:03 UTC,2020-01-07 04:12:48 UTC
